comment_id,comment,likeCount,video_id
UgyqgNHD0ta-lrHf6al4AaABAg,우리 백구양 더이상 외로운 길생활 말고 제보자님의 말대로 좋은가족 만나서 예쁨많이 받고 오래오래 행복하게 살기요😊😊,145,DXGrKmORvl8
UgyNyDnEZMbGoR-ApRl4AaABAg,"짧다리 맑눈광 개토커인데 심하게 사랑스러운 백구❤ 
거친 길 위에서 살았어도 밝고 건강해서 다행이에요.
좋은 가족 만나 행복하게 살기를❤",158,DXGrKmORvl8
UgxPAQe00oaIYOa_sC14AaABAg,환하게 웃는 모습이 너무 예쁜 백구~~ 눈물이 나네요... 백구야 좋은 가족 만나자^^ 낮에는 먹이활동하느라 바빴구나ㅜㅜ 길고양이한테 쫓겨서 밥못는거 너무 웃겼음ㅎㅎ 순둥이 백구^^,44,DXGrKmORvl8
UgwesiqzELWNBiOjrG94AaABAg,밤마다 집에서 마실 나온줄 알았는데 아니였구나ㅜㅜ 백구 진짜 귀엽고 성격도 너무 좋고 사랑스럽다,29,DXGrKmORvl8
UgybK42LPeatsSDk7fN4AaABAg,아구 웃는 모습이 너무 예쁘구나 ❤ 우리 백구 끝까지 함께 하실 분 꼭 나타났으면 좋겠어요 ❤ 진도믹스 키워보시면 아실텐데 엄청 깔끔하답니다 사랑으로 키워 주실 분 꼭 나타나길 기도할게요 😢 아기야 그 웃음    계속 영원하길 ❤,67,DXGrKmORvl8
UgxMGGXjJCQbLTHF-1J4AaABAg,"너무 귀엽고 착한 애긴데 길 위에 생활이 너무 짠했어요 ㅠ 이제 구조됐으니 좋은 보호자 만나서 원없이 사랑받고 살았으면 좋겠네요.

그 와중에 허벅지 근육 10센티 ㅋㅋㅋ 
풍돗개같이 생긴 얼굴에 웰시코기의 짧둥한 다리가 언밸런스 하면서 너무 귀여워요 😍",66,DXGrKmORvl8
Ugw2DpWPgKORHbtYUaV4AaABAg,"이전 이야기 A Previous Story ↓↓↓
https://youtu.be/9DvmdcH65rg",69,Z6_0go6wdvQ
Ugx8DVKK5P59UfPCkfp4AaABAg,저렇게 잠깐 보호해주신 분도 헤어질 땐 마음쓰이고 슬퍼하시는데 버린 원주인이라는 사람은 어떤 사람일까요. 평생 마음의 죗값 치르며 살았으면 좋겠어요.   아이가 좋은 주인 만나길,408,Z6_0go6wdvQ
UgwWhSbxkiiZ6xGI-vV4AaABAg,구조해주신 모든 분들 감사합니다. 그리고 강아지 버린 인간 평생 피똥싸고 유병장수 기원합니다 🙏,449,Z6_0go6wdvQ
UgzpJk1o6RUprnGr6uZ4AaABAg,"마지막  할아버님이 차에 태워 보낼때
몇일안본 사람도 저렇게 보낼때는 눈물을 흘리시는데,  저렇게 죽으라고 몸과 목에 줄묶어서 버린사람 꼭 똑같은 처벌 언젠가는 뱓으시길 바래요!!!",188,Z6_0go6wdvQ
