comment_id,comment,likeCount,video_id
UgyDxbw9U7qxA5SWBYR4AaABAg,변하지 않는 돈미새 한결같은 마음 전한결씨,20,ktlB1-yZEgo
UgyfWoMzr59VE3G9hpt4AaABAg,차일 정도로 만약에를 말한 독사도 웃기고ㅋㅋㅋㅋㅋㅋ 이해 못하다가 예시 들면서 공감하는 형도 웃기고ㅋㅋㅋㅋㅋㅋ 핑크하마 얼굴 움직이는 거 겁나 자연스럽넼ㅋㅋㅋㅋㅋㅋㅋㅋ,747,LZHeot2Lzcs
UgyHKplHOpAuIr8fGd54AaABAg,만약에 너가 ‘만약에’를 너무 많이 해서 내가 헤어지자고 하면 어떡할꺼야??,228,LZHeot2Lzcs
UgxKt9QMVeGxSBwlnOl4AaABAg,와 벌써 피곤해.. 어떡하긴 뭘 어떡해 답은 이미 정해져 있으면서,413,LZHeot2Lzcs
UgxpXejunNrsJppp1E54AaABAg,진짜 킹받게 얘기 잘한다 형 ㅋㅋㅋㅋㅋㅋ,258,LZHeot2Lzcs
Ugw4JfCCs-_jmlT9jcF4AaABAg,"실제로 전여친이 이랬음
되도 않는 상황을 갖다 붙이면서 ""만약에..."" 할때 마다 ""아니 그런 일이 생길리가 없잖아"" 라고 하면 ""아니 그러니깐 만약에 생긴다면 말야""라고 받아치고 마지막은 꼭 ""오빤 공감능력이 부족해""

ㅅㅂ 그놈에 공감능력은 염병",179,LZHeot2Lzcs
UgzkiaiwZraqrXliw4p4AaABAg,"진짜 생각만으로도 너무 피곤하고 킹받아..
편집자님이 그림넣어서 편집하신거 센스있다ㅋㅋㅋㅋ더 몰입이 잘된다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",107,LZHeot2Lzcs
UgycX2EJu_HnmvTSTQ54AaABAg,킹받는 목소리로 말해서 개웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,9,LZHeot2Lzcs
Ugw5GTn7ILEKEWMi7SV4AaABAg,아낰ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 너무 웃겨ㅠ,41,LZHeot2Lzcs
UgxGhYQ6mdambc1nW754AaABAg,하지 못하는거 만약에 붙여서 주둥아리만 터는거 어떤 사람이던지 다 싫어함.,37,LZHeot2Lzcs
UgzfO-eC-Ca0IaLR-w94AaABAg,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ자기가 예시들다가 빡쳨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,19,LZHeot2Lzcs
Ugwn7suwlAf6dt8G7Ax4AaABAg,시참으로 참여했던 웅냥입니다! 같이 게임하는 내내 웃겨 뒤지는줄 알았네요 ㅋㅋㅋㅋㅋㅋ 이거 풀버전도 진짜 재밌으니까 많이 봐주세요!! 햬먜횽의뢍 챨뗙임댜,557,lpOfZTE_pis
UgwyEltZ36Bq6f388-J4AaABAg,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 재밌었음ㅋㅋㅋㅋㅋ 독사들도 똑똑하고 우좜마 잔머리 굴리는 소리 화면 밖까지 들림ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 독사들 괴롭힐 때 제일 행복한 우리 형..,322,lpOfZTE_pis
UgyQgAPaFdU-nAhIwmN4AaABAg,독사들이랑 채팅처럼 티키타카 되니깐 개웃기다 ㅋㅋㅋㅋㅋㅋ 그리고 뭔가 그스그청 확실히 느껴짐 ㅋㅋㅋㅋㅋㅋ,234,lpOfZTE_pis
Ugx1cWGmELHblGvwUpF4AaABAg,아니 심리전 진짜 미쳤네 ㅋㅋㅋㅋㅋㅋㅋ ㅠ 투표사도 웃긴데 오타로 죽은 게 더 웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,136,lpOfZTE_pis
Ugz-qDTSuvRSlPbeF2Z4AaABAg,플레이해주셔서 너무 감사합니다!!!  3글자 금칙어를 성공하시다니 ㄷㄷㄷ커스텀 없이 대화만으로 이렇게 재밌게 플레이하실줄은 몰랐어요~여러명 탈락할때 소리 언능 수정하겠습니다 ㅠㅠ다시한번 너무너무 감사드려요~,45,lpOfZTE_pis
Ugzl0sZlH5l5aAev3B94AaABAg,진짜 우당탕탕 시참게임은 언제봐도 재밌어ㅋㅋㅋㅋㅋㅋㅋㅋㅋ서로 속고 속이면서 게임하는데 개웃기다ㅋㅋㅋㅋㅋㅋ,30,lpOfZTE_pis
UgztLPcUGJpjpTCBpP14AaABAg,생방 보는데 우좜마 진짜 너무 순수해ㅛㅓ 귀여웠음ㅋㅋㅋㅋㅋㅋ 어디가서 사기는 절대 못칠사람ㅋㅋㅋㅋ,72,lpOfZTE_pis
UgxzaLr1BjBeYiIHiM54AaABAg,믿고보는 시참ㅋㅋㅋㅋㅋㅋㅋㅋ진짜 내내 웃어서 광대 아픔,10,lpOfZTE_pis
Ugw07O5_1_-OuWdVeYF4AaABAg,진짜 제목만 봐도 우좜마 최적의 게임이다 ㅋㅋㅋㅋㅋ,34,lpOfZTE_pis
UgwkDKUiPWws_QC6R-14AaABAg,독사들이랑 캐미 개미쳤네 ㄹㅇ 웃다카 콧물나옴 ㅜㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,17,lpOfZTE_pis
UgylivVIVtwjuUxPlOV4AaABAg,진짜 어디서든 우좜마를 빡치게 할 게임을 찾는 다음에 제목에 신박한 퍼즐 게임이라고 말하는 독사들이 넘 웃김ㅋㅋㅋㅋㅋ,510,IJLUn7iwQR0
UgyaApqfDc6rnEO3UEx4AaABAg,훈수로 분위기 곱창날수있는거 잘받아주고 잘 끊었다 ㅋㅋㅋㅋㅋ,246,IJLUn7iwQR0
UgzYta1dhdFenZRpooh4AaABAg,진심 생방으로 보다가 열불이 터져서 나중에 업로드 되면 봐야지 하다 이렇게 나오니까 너무 좋다❤ 편집 지리구,14,IJLUn7iwQR0
UgyX7g-ydliAEw7XD_B4AaABAg,하마가 원래도 재밌었긴 한데 이 게임 하면서 그냥 개웃었음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,30,IJLUn7iwQR0
UgyThgOwOPJooSTGg8t4AaABAg,하ㅡ생방때도 진짜 깔깔하면서 봤는데 다시봐도 너무너무너무 웃기다 ㅋㅋㅋㅋㅋ,61,IJLUn7iwQR0
Ugw2tqWAgY-rDe9Rt7N4AaABAg,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다시 봐도 개웃겨 귀여운 캐릭터와 귀엽지 않은 형의 게임실력..,33,IJLUn7iwQR0
Ugy5QSxoaR8mz2LpNHp4AaABAg,신박한 퍼즐게임을 기도메타로 만들어버리시네 ㅋㅋㅋㅋㅋㅋㅋ,11,IJLUn7iwQR0
Ugx_L4XbctffL-MlvB14AaABAg,"아 진짜 너무 웃김ㅋㅋㅋㅋㅋㅋ
점심시간에 끅끅대면서 봤넼ㅋㅋㅋ",20,IJLUn7iwQR0
UgwkPW-fKPl3GDUNxpx4AaABAg,최근들어 썸네일도 그렇고 영상도 개웃겨서 반복해서 보게 되는 것 같음ㅋㅋㅋㅋㅋㅋ,24,IJLUn7iwQR0
UgzfteORk8Ll5_F140F4AaABAg,진짜 이번판 미쳤다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5,IJLUn7iwQR0
UgwgdkdnGAL0taUE_Oh4AaABAg,안경 쓰는 사람들의 애환이 담겨있는 것 같은 공겜…. 짧지만 강력하다 ㅋㅋㅋㅋㅋㅋㅋ,554,nrdz5h7D90I
UgwqScYWGrYlzmAMM5R4AaABAg,딴소리 하는 건 우주하마가 진짜 최고다ㅋㅋㅋㅋ,351,nrdz5h7D90I
Ugy5jrnQvqzbfe1hkRN4AaABAg,"4:33 하마는 절대 무서워서 그런게 아니라는데 자막으론 절대 무서워 그러는 거예요 개웃겨ㅋㅋㅋㅋㅋㅋ
편집자님 이런 무드로 편집해주실 때 넘 좋음 ㅋㅋㅋ",203,nrdz5h7D90I
UgxHwdo1NXNyY686u8l4AaABAg,결말 애매해서 다 당황했는데 이걸 이렇게 살리네ㅋㅋㅋㅋㅋㅋㅋ 역시 우좜마~,124,nrdz5h7D90I
Ugxa3AHAXTJyoBgNPP14AaABAg,"압도적인 분위기에 플레이시간 내내 긴장하면서 봤네..ㄷㄷ
하마 헛소리 중얼중얼 하는 와중에도 긴장감이 계속 팽팽했음 ㄷㄷ",96,nrdz5h7D90I
UgxKrpLCFjlysaUTIw54AaABAg,무서울때 아무말이나 하는거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ공겜이라 긴장하면서 보는게 계속 아무말 대잔치해서 너무 웃겼음ㅋㅋㅋㅋㅋㅋㅋ,23,nrdz5h7D90I
UgwcwpCfWIr1japVzjh4AaABAg,레베카 내백합ㅋㅋㅋㅋㅋㅋㅋ내백합 영도 어떻게 생각해냈냐 진짜 웃긴 독사들이야ㅋㅋㅋㅋ,117,nrdz5h7D90I
UgyvGF0ZJmn1epTUVt14AaABAg,9:52 (30초 후 깜놀 주의) 상황 파악하고 뒷걸음질 치다가 죽는 거 되게 영화같다ㅋㅋㅋㅋㅋㅋㅋ,42,nrdz5h7D90I
UgyJ33pbUViWLu4NzC54AaABAg,근데 게임들을 수없이 많이 했는데 쉬프트 달리기가 기본인걸 생각못하는 우주하마는 대체...,10,nrdz5h7D90I
UgxdL8FC-BTPV-_ruGN4AaABAg,와 이거 진짜 개공감된다 시력이 너무 안 좋아서 안경 써야하는데 그러다보니 안경 렌즈가 두꺼워져서 눈이 엄청 작아짐 그래서 벗고 다니는데 밤에 운동하러 산 올라갔다가 뒤질뻔함 안 보여서 가까이 가다가 쑥 빠져가지고,4,nrdz5h7D90I
UgwyR5XamhCcwNGLMmR4AaABAg,게임 속 모든 함정을 다 걸려봐야 직성이 풀리는 우주하마🤣함정을 만든 개발자들이 아주 기뻐할 듯...ㅋㅋㅋㅋㅋㅋ,156,kFilnC9pLao
Ugw2x-A82D-cYo4Nyh94AaABAg,아 진짜 링거는 예상치도 못했닼ㅋㅋㅋㅋㅋ 자꾸 이상한 데서 죽어ㅠ 너무 재밌다,79,kFilnC9pLao
UgyxkexwwPfaBbbs0GF4AaABAg,여전히 갖가지 함정에 빠져 침몰하시는 우주하마 님의 노고를 위로하며... 기어이 억압된 욕망을 해소하고 반신불수가 되었음에도ㅋㅎ 제 자리로 돌아와 직분을 다하시는 상인 아저씨의 숭고한 저항 정신 또한 기리옵~니다. ฅ(˘ᆽ˘ﾐ)∫,48,kFilnC9pLao
UgzndvaWWC5ko4WS5714AaABAg,알트에프포를 3편까지 해주다니 ㅋㅋㅋㅋ 오늘도 빡종이야??? 언제 깰거야 형 ㅠㅠㅠ 4편까지 존버한다,147,kFilnC9pLao
UgwkzngAO-xqX9oLpJZ4AaABAg,진짜 칼에 맞고 죽는 거ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 항상 우리 하마에게만 이런 일이 일어나는거죠🤷🏻‍♀️ 유튭각을 뽑아주는 알트신이 돕는 우좜마ㅠ,254,kFilnC9pLao
Ugziw4P__wDXdpF8ZsF4AaABAg,진짜 알트에프포는 우주하마 빡치게 하는 게임중 하나라서 너무 행복함ㅋㅋㅋㅋ,34,kFilnC9pLao
UgwPjmkKfY4MOWDMGc14AaABAg,알프에프포와 우줌마의 조합은 그냥 미쳤다ㅋㅋㅋㅋ 내시간돌려줘여,13,kFilnC9pLao
UgwkKR8NheObpkMszl54AaABAg,진짜 좜마는 예능신이 강림을 했다…ㅋㅋㅋㅋㅋㅋ,3,kFilnC9pLao
UgxlxpUfdQTco-onksJ4AaABAg,아무리 생각해도 점심먹을땐 형 억까당하는것만한게 없어,18,kFilnC9pLao
Ugz6IedO9A642FJjdUJ4AaABAg,"존경! 대단합니다 우주하마님!
앞으로도 알프에프4같은 고도의 기술력과 인내심, 집중력이 필요하고 
무엇보다 재치있는 입담!❤ 늘 보고있습니당",0,kFilnC9pLao
Ugzc8kaYQFCS1jLlD354AaABAg,의도한 것 마냥 얼렁뚱땅 체크포인트까지 가는 거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,418,ASSNY9qwxhE
UgzParuBG_R0Uzak11d4AaABAg,도착했을 때 웃는 표정 하나같이 귀엽다 ㅋㅋㅋㅋㅋㅋ 되게 해맑아…,214,ASSNY9qwxhE
Ugz3t_gXEokPWH-HM7t4AaABAg,4:08 아낰ㅋㅋㅋㅋㅋ 집자님 고양이하악질 넣으신거 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,76,ASSNY9qwxhE
Ugw_lF0LPqBMwZ46Cet4AaABAg,세상 오두방정 떨면서 하는데도 이상하게 이런 류의 게임은 잘 하는 하마님ㅋㅋㅋㅋ,79,ASSNY9qwxhE
UgwXU45G5y78pRJB9tp4AaABAg,광고에 할머니보고 이캐릭터를 받는거야라니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 쎄게 웃었다,27,ASSNY9qwxhE
UgyJ7K8ZinRxdHapK054AaABAg,"하마+몸개그=개존잼
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
죽마게임같은 중심잡기 걷기 게임 진짜 개웃기게 하는데 
거기다 또 은근 잘해 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
골인하고 흐으으 하고 힘빼고 웃으면서 박수치는거 개킹받음",125,ASSNY9qwxhE
Ugxu30UALvGAc0uuPzJ4AaABAg,못깨서 빡종할줄 알았더니 은근잘해서 신기하다ㅋㅋㅋㅋㅋㅋㅋㅋ근데 중간중간 우연으로 깨놓고 잘난척하는거 개킹받는다ㅋㅋㅋㅋㅋㅋ,83,ASSNY9qwxhE
UgyKUCrjmRZwcHAYROF4AaABAg,9:08 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너무 집중하는 바람에 화공도 안켜신 게 개웃기고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 순둥하게 형 같이 보자라고 하는 독사님들도 넘 웃김 ㅋㅋㅋㅋㅋㅋㅜㅜ,3,ASSNY9qwxhE
UgyglKIjBhJZrtiL0_l4AaABAg,8:58 너는 소질이 없는것 같아 호도도 지우는게 킬포네ㅋㅋㅋㅋㅋㅋㅋㅋ,24,ASSNY9qwxhE
UgzbDoIJKR94Eec7tP14AaABAg,진짜 왜 이런 류의 게임 잘하냐고 ㅋㅋㅋㅋㅋㅋ,63,ASSNY9qwxhE
UgyBy3XaO6guqAfutPZ4AaABAg,진짜 열심히 게임했구나 형 ㅋㅋㅋㅋㅋㅋ 바닥이 아주 커피로 가득해 ㅋㅋㅋㅋㅋㅋ,796,k8YO6Acbvkk
Ugw-C-oIMUXvCNPKnmt4AaABAg,아 엉덩이 진짜 개웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 커피 냅다 들이붓는 것도 미쳐버려 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,262,k8YO6Acbvkk
Ugwp4QvRXx43jWpyPAV4AaABAg,아니 진짜로 쏟았냐고 ㅋㅋㅋㅋㅋㅋ 리액션 진짜 ㅋㅋㅋㅋㅋ,195,k8YO6Acbvkk
UgxHFZrIbBuapIDt9lt4AaABAg,자보자~ 하는데 바닥 커피로 흥건한거 보소ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,69,k8YO6Acbvkk
Ugzx3zCWmPanHs1QwWB4AaABAg,비명 무슨 일이야 ㅋㅋㅋㅋㅋㅋ 역시 형은 병맛게임 할때 가장 웃겨 ㅋㅋㅋㅋ,24,k8YO6Acbvkk
UgzRrS-QWt7IHG0JXnN4AaABAg,커피를 들이부으니까 비명을 혜자로 내주네ㅋㅋㅋㅋㅋㅋㅋㅋ비명 맛집 우좜마ㅋㅋㅋㅋ,61,k8YO6Acbvkk
UgyK_jUip7HAYlTKlvZ4AaABAg,아 진짜 자세 하나하나 개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ바닥에 커피를 얼마나 쏟은거야ㅋㅋㅋㅋㅋㅋㅋㅋ,9,k8YO6Acbvkk
UgzlMtKaYXhzMv3UQ_N4AaABAg,짇짜 게임 시작하자마자 개웃었는데ㅋㅋㅋㅋㅋㅋㅋㅋ병맛게임이랑 형이랑 너무 잘어울려,14,k8YO6Acbvkk
UgxOsOOlvMFPq8xyKXh4AaABAg,쉬바 머리에 커피를 냅다 들이부어ㅋㅋㅋㅋ 자 보즈아~ 할 때 편집돼서 바닥에 다 새까만거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6,k8YO6Acbvkk
UgxH6dxNPNKiZTvgpXh4AaABAg,형ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ커피를 얼마나 흘린건뎈ㅋㅋㅋㅋ,9,k8YO6Acbvkk
Ugy9rhS3Fr-XHJPUbSt4AaABAg,공과 돈에 유난히 집착하는 우주하마 너무 좋다,418,ziPpXmewTkM
UgwDEr8ZXYtnqgHbd3J4AaABAg,게임 추천해준 사람이 내 공 하나 건다니까 우좜마가 뒤늦게 알아채서 플레이 하는거 넘 웃기네ㅋㅋㅋㅋㅋㅋ띄어쓰기와 붙여쓰기의 중요함ㅋㅋ,307,ziPpXmewTkM
Ugzk015l54OC7dlsxM94AaABAg,"점심 초밥 먹고 후식으로 우주하마 영상ㅋㅋㅋ
행복한 삶이다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",125,ziPpXmewTkM
