영상Id,채널Id,영상제목,업로드날짜,조회수,좋아요,댓글,해시태그
Tzxb-mrh_rY,UCbzI92w5vWa6mEj1dACfy6g,"[VLOG] 3년만에 열린 초극성수기의 겨울 삿포로 눈축제 ❄️ㅣ홋카이도 먹방여행 💸 (ft. 미슐랭 2스타, 스시, 현지인 시오라멘 맛집, 카이센동, 야키토리, 스프카레 🤤)",2023-02-22T13:00:20Z,93781,4321,246,"['먹방', '푸메', 'mukbang', 'yt:cc=on', '일본 브이로그', '여행 브이로그', '삿포로 브이로그', '삿포로 여행', '삿포로 여행 브이로그', '홋카이도 여행 브이로그', '홋카이도 여행', '여행 vlog', 'sapporo vlog', '삿포로 눈축제', '삿포로 눈축제 브이로그', '삿포로 맛집', '일본 맛집', '홋카이도 맛집', '먹방 브이로그', '여행 먹방', 'sapporo vlog winter', 'japan vlog travel', 'japan vlog', 'japan vlog korea', 'korean vlog', 'mukbang vlog korean', 'mukbang vlog', '삿포로 현지인 맛집', '삿포로 스프카레 맛집', '일본 삿포로 맛집', '삿포로 맛집 추천', '비에이 투어', '삿포로 비에이 투어', '삿포로', '홋카이도', '일본', 'japan travel', 'fume vlog', '브이로그 푸메', '일본 브이로그 푸메', '삿포로 브이로그 푸메', '시오라멘', '스프카레', '스프카레 맛집', '시오라멘 맛집']"
cVloC6qt0fo,UCbzI92w5vWa6mEj1dACfy6g,"JMT 매운 불짜장우족찜🔥 고추김치 납작분모자 먹방 ASMR MUKBANG | Spicy Fire Jjajang Braised Beef Feet 🔥 Noodle, Rice Ball",2023-02-18T13:00:23Z,471304,10614,186,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '짜장우족찜 푸메', '짜장우족찜 먹방', '짜장우족찜 먹방 푸메', '푸메 우족찜', '푸메 짜장우족찜', '우족찜 먹방', '우족찜 먹방 asmr', '우족찜 asmr', '우족찜 푸메', '우족찜 푸메 먹방', 'beef feet mukbang', 'beef feet asmr', 'beef feet eating asmr', 'beef feet mukbang korea', 'beef feet eating', 'beef feet mukbang fume', 'beef feet', '우족찜 레시피', '푸메 우족찜 레시피', 'fume mukbang', 'mukbang fume', '고추김치 먹방', '고추김치 푸메', '牛足 asmr', '牛足蒸し asmr', '牛足蒸し', 'spicy food mukbang']"
BK8MObCk2-E,UCbzI92w5vWa6mEj1dACfy6g,"드디어,,! 새로 나온 바질크림불닭우동 ☆ 바삭바삭 연어레어카츠 먹방 ASMR MUKBANG | Basil Cream Buldak Udon Noodles & Salmon Katsu",2023-02-15T13:00:09Z,340454,9963,187,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '바질크림불닭우동 먹방', '바질크림불닭우동 후기', '바질크림불닭우동 푸메', '푸메 바질크림불닭우동', '바질크림불닭우동', '연어까스 먹방', '연어까스', '생선까스 먹방', '생선까스', '불닭우동 먹방', '푸메 불닭우동', 'buldak udon noodles', 'spicy udon mukbang', 'spicy udon asmr', 'spicy udon eating', 'spicy udon noodles mukbang', 'spicy stir fry udon noodles', 'spicy chicken udon noodles', 'basil cream mukbang', 'basil cream pasta', 'salmon cutlet asmr', 'rare salmon cutlet', 'うどん']"
oZMhtUVt7AI,UCbzI92w5vWa6mEj1dACfy6g,"초간단 밥도둑 매콤계란볶이 🤤 황금알, 반숙란, 완숙란,,, 작정한 계란파티 먹방 ASMR MUKBANG | Spicy Stir-Fried Eggs! Egg Tteokbokki",2023-02-12T13:00:33Z,274773,8285,151,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '계란볶이 먹방', '계란볶이', '계란볶이 먹방 asmr', '계란볶이 asmr', 'gyeran tteokbokki', 'spicy egg', 'spicy stir-fried egg mukbang', 'spicy stir-fried egg', 'egg mukbang', 'egg asmr', 'egg eating', 'boiled egg asmr', 'boiled egg mukbang', 'boiled egg', '감동란 먹방', '계란 먹방', '삶은계란 먹방', '반숙란 먹방', '푸메 계란볶이', '불닭 계란볶이', '황금란 먹방', '황금란 만들기', '황금란', 'golden boiled egg', 'golden egg mukbang', 'soft boiled egg asmr', '卵 asmr', '卵']"
TrVh6GG1cTo,UCbzI92w5vWa6mEj1dACfy6g,"한국에 없는 한국인이 좋아하는 맛,, 칠리토마토라면 3컵 🍅 소세지 & 감자말이새우 먹방 ASMR MUKBANG | Chili Tomato Cup Ramen Noodles X3",2023-02-08T13:00:14Z,478286,12096,296,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '칠리토마토라면 먹방', '칠리토마토라면', '토마토라면 먹방', '컵라면 먹방 푸메', '컵라면 먹방', '컵라면', '일본 컵라면 먹방', '일본 컵라면', '일본 편의점 라면 먹방', '일본 편의점 먹방', '일본 라면 먹방', '일본 라면', '라면 먹방', '라면 먹방 asmr', '라면 asmr', 'chili tomato cup noodles', 'chili tomato noodle big', 'chili tomato ramen', 'japanes cup noodle', 'japanese noodles mukbang', 'japanese noodles asmr', 'japanese food mukbang', 'japanese food asmr', 'チリトマトラーメン asmr', 'チリトマトヌードル', '日清']"
YrWrdqTGmfc,UCbzI92w5vWa6mEj1dACfy6g,쿨타임 찬 뿌링클 수혈💛 뿌링뿌링소스 드으으음뿍! 뿌링클치킨 뿌링치즈볼 뿌링멘보샤 치즈볼 먹방 ASMR MUKBANG | Bburinkle Chicken & Cheese Balls,2023-02-05T13:00:31Z,491576,12625,245,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '뿌링클 먹방 푸메', '뿌링클 먹방', '뿌링클 먹방 asmr 푸메', '뿌링클 먹방 asmr', '뿌링클 치킨 먹방 asmr', '뿌링클 사이드 먹방 asmr', '뿌링클 치즈볼 먹방 asmr', '치즈볼 먹방 푸메', '치즈볼 먹방 asmr', '뿌링치즈볼 먹방', '치즈볼 먹방', '뿌링클치킨먹방', '뿌링클치킨 먹방 asmr', '뿌링클치킨 asmr', '뿌링멘보샤 먹방', '뿌링클 사이드 먹방', '푸메 뿌링클 사이드', 'bburinkle chicken mukbang', 'bburinkle chicken asmr', 'korean bburinkle chicken', 'cheese ball asmr', 'cheese ball mukbang', 'fume asmr cheese balls']"
03uzwiA5pGU,UCbzI92w5vWa6mEj1dACfy6g,"맛이 없을 수가 없는,,, 🥺 매운 불족발에 꾸덕한 치즈크림파스타 먹방 ASMR MUKBANG | Spicy Pork Feet & Super Cheesy Cream Pasta",2023-02-02T13:00:01Z,400413,11245,152,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '크림파스타 불족발', '불족발 크림파스타', '크림파스타 먹방 푸메', '크림파스타 먹방 asmr', '크림파스타 먹방', '크림파스타 asmr', '까르보나라 먹방 푸메', '까르보나라 먹방', '까르보나라 asmr', '불족발 먹방', '불족발 먹방 푸메', '불족발 asmr', '크림파스타', '불족발', 'cream pasta asmr', 'cream pasta mukbang fume', 'cream pasta mukbang', 'creamy pasta mukbang', 'creamy pasta asmr', 'creamy pasta eating', 'cheesy pasta asmr', 'cheesy pasta mukbang', '치즈파스타 먹방', '크림치즈파스타 먹방', '치즈크림파스타 먹방', 'pasta']"
dzvLcL-SMa0,UCbzI92w5vWa6mEj1dACfy6g,"꾸덕꾸덕 크림진짬뽕 3봉지, 바삭탱글 새우까스, 치즈소스 먹방 ASMR MUKBANG | Spicy Seafood Cream Noodle Ramyun & Shrimp Cutlets",2023-01-29T13:00:24Z,447100,12505,263,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '새우까스 먹방', '새우까스', '새우튀김 먹방', '새우튀김 asmr', '튀김 먹방', '튀김 asmr', '푸메 튀김 먹방', '크림진짬뽕 먹방', '크림진짬뽕 조합', '크림진짬뽕 asmr', '크림진짬뽕 먹방 asmr', '크림진짬뽕 맛있게 먹는법', '크림진짬뽕 리뷰', '크림진짬뽕', '크림짬뽕 먹방', '크림짬뽕', 'cream jin jjambbong mukbang', 'cream jin jjambbong', 'creamy seafood noodles', 'spicy cream noodles mukbang', 'spicy cream noodles', 'creamy noodles asmr', 'creamy noodles mukbang', 'creamy noodles', 'shrimp cutlet']"
CTF1ie0ZXPU,UCbzI92w5vWa6mEj1dACfy6g,"뜨끈칼칼 골뱅이탕♨️ 쫀득한 어묵, 부추무침 먹방 MUKBANG(ASMR X) | Spicy Sea Snail Soup, Fish Cake Skewer, Seasoned Chive",2023-01-26T13:00:06Z,323835,7768,153,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '골뱅이탕 먹방', '푸메 골뱅이탕', '골뱅이탕', '골뱅이탕 레시피', '우렁 먹방', '골뱅이 먹방 푸메', '골뱅이 먹방', '어묵탕 먹방', '어묵탕 먹방 asmr', '어묵탕', 'snail mukbang', 'eating snails asmr', 'eating snails', 'snails mukbang', 'fume mukbang snails', 'sea snail asmr', 'sea snail eating', 'sea snail mukbang', 'sea snail korea', 'golbaengi mukbang', 'つぶ貝 asmr', 'つぶ貝', 'Canh ốc nấu cay', 'Canh ốc', 'ốc nấu', 'siput laut', 'fish cake asmr', 'fish cake']"
C3Bc5YpCkRM,UCbzI92w5vWa6mEj1dACfy6g,"레전드,, 매운 고추김치🌶 바삭고소 통대창 ASMR MUKBANG | Spicy Chili Kimchi & Grilled Beef Large Intestines (Daechang)",2023-01-23T13:00:07Z,707402,13832,227,"['먹방', '푸메', 'mukbang', 'eating show', 'korean mukbang', 'asmr', 'yt:cc=on', 'Hàn Quốc asmr', 'Hàn Quốc', 'Hàn Quốc mukbang', 'mukbang hàn quốc', '통대창 먹방', '통대창 먹방 asmr', '통대창 먹방 푸메', '통대창 먹방 레전드', '통대창 asmr', '바삭한 통대창 먹방', '바삭한 통대창 asmr', '바삭한 통대창', '통대창 현실', '통대창', '대창 먹방', '대창 먹방 asmr', '대창 asmr', 'daechang asmr', 'daechang mukbang', 'daechang korean food', 'daechang eating', 'daechang', 'mukbang daechang', 'asmr daechang', 'ホルモン', 'テッチャン asmr', 'テッチャン モッパン', 'テッチャン', '고추김치 먹방', '고추김치 푸메', '푸메 고추김치', '고추김치 먹방 푸메', '푸메 고추김치 만들기', '고추김치 레시피', '唐辛子キムチ']"
