영상Id,채널Id,영상제목,업로드날짜,조회수,좋아요,댓글,해시태그
tHukU4-ZarE,UC22go5LdQEw-iDuxFb4C0hw,토토한테 빠진 맑눈광 김백구씨 일요일에 뵙겠습니다. #애니멀봐 #shorts,2023-04-28T09:00:41Z,22265,819,17,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal show', 'animals', 'animal farm', 'tv animal farm', '동물영상', '재미있는 동물영상', 'sbs animal farm 2023', '동물농장 백구', '동물농장 강아지', '백구', '강아지', '개', '미스터리', '맑눈광', '웃긴 강아지', '귀여운 강아지', '강쥐', '댕댕이', '강아지 사랑', '애니멀봐 백구', '애니멀봐 강아지', 'dog', 'dog videos', 'dog funny', 'dog funny videos', 'dog walk', 'dog love', 'dog dog', 'puppy', 'dog sounds', 'happy dog', 'dog friends', 'dog names for male', 'dog playing', 'dog running', 'dog life', 'dog shorts', 'shorts', '일요일아침TV동물농장', '동물농장 예고']"
PoycZ2OhbTw,UC22go5LdQEw-iDuxFb4C0hw,자꾸 처음인 것처럼 고백하는 연쇄 고백마.. 백구 공개수배요ㅣI Think the Stray Dog Has a Short-Term Memory Loss,2023-04-28T08:00:17Z,56795,1927,106,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재밌는 동물영상', '귀여운 동물', '강아지', '강아지 영상', '강아지 산책', '강아지 커플', '강아지가 반응하는 소리', '강아지 먹방', '아기 강아지', '귀여운 강아지', '강아지 입양', '강아지 수면음악', '새끼 강아지', '강아지 소리', '강아지 브이로그', '동물농장 강아지', '애니멀봐 강아지', '강아지 간식', '강아지 구조', '강아지 마킹', '강아지 하울링', 'dog', 'dog sounds', 'dog videos', 'dog funny videos', 'dog house', 'dog voice']"
5HoYGK7_028,UC22go5LdQEw-iDuxFb4C0hw,"[단독] 깻잎 논쟁에 이은 견민들 목줄 논쟁.. 영상 누르면 종결돼
 | SBS 발뉴스 (2023.04.28) | Paw News",2023-04-27T23:00:03Z,267226,7962,541,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', '애니멀봐 강아지', '애니멀봐 오리지널', '오리지널 콘텐츠', '강아지 뱀물림', '강아지 사고', '강아지 산책']"
uOepZZTw-gI,UC22go5LdQEw-iDuxFb4C0hw,시골사는 강아지 개무시하는 차도견ㅋㅋㅋ (마지막 반전)ㅣWhat Happens When a City Dog Goes to the Countryside,2023-04-27T08:00:32Z,65087,1584,78,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', '애니멀봐 강아지', '강아지', '동물농장 강아지', '시츄', '귀여운 강아지', '시골 강아지', '강아지 키우기', '웃긴 강아지 영상', '시츄 얼굴', '양', '양 털', '강아지 귀촌', '강아지 먹방', '강아지 산책', '강아지 놀이', 'shih tzu', 'dog play', 'dog eat', 'cute dog', 'funny dog video', 'city dog', 'dog walk', 'dog happy', 'dog sound', 'dog puppy', 'dog funny', 'dog smile']"
hZfsgm0vsUc,UC22go5LdQEw-iDuxFb4C0hw,맨날 잠만 자다 칼퇴하는 고양이 사원.. 뒤를 밟아봤더니🙊ㅣRescued a Cat on the Verge of Death And..!,2023-04-26T23:00:24Z,123108,3475,114,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재밌는 동물영상', '귀여운 동물', '고양이', '고양이 영상', '고양이 산책', '고양이 울음소리', '아기 고양이', '고양이뉴스', '코숏', 'cat', '새끼 고양이', '고양이 자세', '고양이 잠', '고양이 집사', '귀여운 고양이', '고양이 입양', '고양이 애교', '고양이 임보', '길고양이', '동물농장 고양이', '애니멀봐 고양이', '고양이 구조', '고양이 간택', '고양이 브이로그', '고양이 출산', '고양이 먹방', 'cats', '고양이가 좋아하는 영상', '고양이 소리', '고양이 노래', '고양이 키우기', '웃긴 고양이']"
LVdr18nHFfQ,UC22go5LdQEw-iDuxFb4C0hw,"쪼꼬미 동물병원 시즌3 8화 (내원환자 : 슈가글라이더 쏭이,몽이님)ㅣReason Why Sugar Glider Siblings Cry Every Night",2023-04-25T23:00:07Z,54174,1712,57,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', '애니멀봐 슈가글라이더', '슈가글라이더', '수의사', '동물병원', '쪼꼬미동물병원', '소동물', '소동물 병원', '슈가글라이더 키우기', '슈가글라이더 핸들링', 'animal hospital', 'sugar glider', 'sugar glider pet', 'sugar glider as pet', 'sugar glider cute', 'tiny animal', 'sugar glider flying', 'sugar glider care', 'cute animal', 'veterinarian', '슈가글라이더 수명']"
u904sb_wGL0,UC22go5LdQEw-iDuxFb4C0hw,집에서 나온 200마리 박쥐들..대박 사건😮 #애니멀봐 #shorts,2023-04-25T08:00:20Z,27448,469,10,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', 'sbs animal farm 2023', '애니멀봐 박쥐', '박쥐', '박쥐 영상', '실제상황', '집박쥐', '박쥐 서식지', '박쥐 명장면', 'bat', 'a bat', 'bats', 'bat video', 'bat life', 'animal video', 'cute animal', 'omg', 'house bat', 'ridiculous', 'video of bat', 'best short video', 'shorts', 'cute bat video', 'cute animals', '대박사건', '애니멀봐 레전드 영상', '애니멀봐 박쥐 레전드', '박쥐 200마리']"
Kav841xAqBQ,UC22go5LdQEw-iDuxFb4C0hw,나는 지금 막 태어난 소 새끼다 [애니멀봐 나새끼 23호]ㅣI’m a Newborn Calf,2023-04-24T23:00:05Z,86873,2506,149,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '감동영상', '재밌는 동물영상', '귀여운 동물', '송아지', '음메음메 송아지', '갓태어난 송아지', '송아지 출산', '아기 송아지', '새끼소', '귀여운 송아지', '송아지 울음소리', '송아지 키우기', '애니멀봐 송아지', '동물농장 송아지', '젖소 송아지', '송아지 눈', '송아지 분만', '송아지 출산 장면', '새끼 송아지', '송아지 애교', '송아지 걸음마', 'calf', 'calf cow', 'cute animal', 'cow video', 'baby animals', '소 출산', '동물 출산', 'animal birth']"
rYHq4KcUZyI,UC22go5LdQEw-iDuxFb4C0hw,"[단독] 연쇄방화범 고모씨 ""부엌에 간 적 있지만 억울해"" | SBS 발뉴스 (2023.04.21) #애니멀봐 #shorts",2023-04-24T08:00:29Z,92281,2502,69,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', 'sbs animal farm 2023', '반려동물', '연쇄방화', '방화', '연쇄', '방화범', '애니멀봐 강아지', '애니멀봐 고양이', '강아지', '고양이', '강아지 고양이', 'SBS 발뉴스', '단독', '애니멀봐 뉴스', '인덕션 화재', '인덕션', 'shorts', 'cat', 'cats', 'catto', 'cat tv', 'sbs발뉴스', 'cat videos', 'cat shorts', 'cate', '뉴스 고양이', '고양이 뉴스', 'cat meowing', 'cat kitten', 'cat cat', 'cat voice', 'an exclusive report', 'report']"
3Aysubz6mdQ,UC22go5LdQEw-iDuxFb4C0hw,한 남자가 산에서 강아지 5남매를 데려왔더니 생긴 일ㅣWhat Happens When An Abused Dog Becomes A Mommy,2023-04-23T23:00:01Z,243923,7298,306,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', '애니멀봐 강아지', '강아지', '동물농장 강아지', '유기견', '떠돌이 개', '꼬물이', '새끼 강아지', '강아지 구조', '유기견 구조', '강아지 이야기', '떠돌이 강아지', '강아지 출산', 'dog sound', 'abandoned dog', 'dog story', 'abandoned dogs', 'cute puppy', 'dog house', 'dog rescue', 'abandoned dog rescue', 'puppy', 'baby animal', 'dog breed', 'dog tv']"
